LOCATIONID,LATITUDE,LONGITUDE,TOWN,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE,parking,charging_station,fast_food,cafe,toilets,restaurant,convenience,playground,park,community_centre,bar,pub,supermarket,sports_centre,hotel,museum,theatre,hospital,library,zoo,cinema,bakery,motorway,trunk,primary,secondary,TOWN_NR,COUNTRY,AVG_ICOME,COST_OF_LIVING,NET_INCOME,CARS_PER_100,EV_RATE,POPULATION,POP_DENSITY,AGE_20,AGE_40,AGE_60,AGE_80,AGE_100,AVG_TRAFFIC_DUR
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,22,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,11578.679999999998,964.89,37440,720,0.3093,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",479.0
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,6,3,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2497.5,208.125,38160,720,0.0654,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",485.25
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,13,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,23270.53,1939.2108333333335,37440,720,0.6215,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",490.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,22,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,7487.84,623.9866666666667,37440,720,0.2,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",435.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,2,22,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,9310.71,775.8925,37440,720,0.2487,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",450.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,11,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,36783.17999999999,3065.265,37440,720,0.9825,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",489.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,20,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,14840.14,1236.6783333333333,37440,720,0.3964,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",450.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,3,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2799.9999999999995,233.33333333333331,37440,720,0.0748,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",459.125
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,16,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,24748.930000000004,2062.410833333334,37440,720,0.661,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",587.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,6,19,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,18498.34,1541.5283333333334,38160,720,0.4848,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",497.375
