LOCATIONID,LATITUDE,LONGITUDE,CITY,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,03,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2799.9999999999995,233.33333333333331,37440,720,0.0748
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,16,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,24748.930000000004,2062.4108333333334,37440,720,0.661
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Sunday,19,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,18498.34,1541.5283333333334,38160,720,0.4848
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,15,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,19755.64,1646.3033333333331,37440,720,0.5277
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,19,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,19058.120000000003,1588.1766666666667,37440,720,0.509
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,01,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,1811.2,150.93333333333331,37440,720,0.0484
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,03,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,2220.24,185.02,37440,720,0.0593
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,06,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,13022.89,1085.2408333333333,37440,720,0.3478
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,00,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,4237.4299999999994,353.11916666666662,37440,720,0.1132
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,05,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,5363.1399999999994,446.92833333333328,37440,720,0.1432
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Wednesday,15,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,20797.589999999997,1733.1324999999997,37440,720,0.5555
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,16,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,24070.239999999998,2005.8533333333332,37440,720,0.6429
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,23,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,7230.1100000000006,602.50916666666672,37440,720,0.1931
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,02,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2054.04,171.17000000000002,37440,720,0.0549
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Sunday,12,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,24366.150000000005,2030.5125000000003,38160,720,0.6385
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,20,"[CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,15243.119999999999,1270.2599999999998,37440,720,0.4071
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,12,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,28971.739999999998,2414.3116666666665,37440,720,0.7738
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,23,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,8004.1099999999988,667.0091666666666,37440,720,0.2138
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,03,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,3157.86,263.15500000000003,37440,720,0.0843
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Thursday,14,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO]",50000,300000,12,21636.13,1803.0108333333335,37440,720,0.5779
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,18,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,25237.22,2103.1016666666665,37440,720,0.6741
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,03,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,2428.7999999999993,202.39999999999998,37440,720,0.0649
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,04,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO]",50000,300000,12,2852.0299999999997,237.66916666666665,37440,720,0.0762
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Saturday,19,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,19572.53,1631.0441666666666,37440,720,0.5228
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Tuesday,21,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,12900.3,1075.0249999999999,37440,720,0.3446
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Friday,16,"[CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,28582.25,2381.854166666667,37440,720,0.7634
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,14,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,19867.53,1655.6274999999998,37440,720,0.5306
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Monday,21,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,13854.46,1154.5383333333334,37440,720,0.37
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,Wednesday,13,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,25973.239999999998,2164.4366666666665,37440,720,0.6937
